issuer,card_name,segment,joining_fee_inr,annual_fee_inr,fee_waiver_condition,best_for,reward_structure_summary,lounge_access,forex_markup_pct,notes_source,variant_id,card_code,synthetic_flag
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_150,IDF_IDFC_FIRST_150,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus on grocery spends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_151,IDF_IDFC_FIRST_151,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_152,IDF_IDFC_FIRST_152,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus on grocery spends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_153,IDF_IDFC_FIRST_153,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_154,IDF_IDFC_FIRST_154,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus points on utility bills,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_155,IDF_IDFC_FIRST_155,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Extra miles on travel portals,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_156,IDF_IDFC_FIRST_156,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_157,IDF_IDFC_FIRST_157,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Extra miles on travel portals,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_158,IDF_IDFC_FIRST_158,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus points on utility bills,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_159,IDF_IDFC_FIRST_159,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus on grocery spends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_160,IDF_IDFC_FIRST_160,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus points on utility bills,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_161,IDF_IDFC_FIRST_161,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus on grocery spends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_162,IDF_IDFC_FIRST_162,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_163,IDF_IDFC_FIRST_163,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus on grocery spends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_164,IDF_IDFC_FIRST_164,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Extra miles on travel portals,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_165,IDF_IDFC_FIRST_165,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_166,IDF_IDFC_FIRST_166,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus points on utility bills,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_167,IDF_IDFC_FIRST_167,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_168,IDF_IDFC_FIRST_168,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Extra miles on travel portals,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_169,IDF_IDFC_FIRST_169,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus points on utility bills,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_170,IDF_IDFC_FIRST_170,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_171,IDF_IDFC_FIRST_171,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_172,IDF_IDFC_FIRST_172,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_173,IDF_IDFC_FIRST_173,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus points on utility bills,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_174,IDF_IDFC_FIRST_174,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus points on utility bills,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_175,IDF_IDFC_FIRST_175,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_176,IDF_IDFC_FIRST_176,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus points on utility bills,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_177,IDF_IDFC_FIRST_177,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Extra miles on travel portals,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_178,IDF_IDFC_FIRST_178,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_179,IDF_IDFC_FIRST_179,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Extra miles on travel portals,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_180,IDF_IDFC_FIRST_180,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_181,IDF_IDFC_FIRST_181,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_182,IDF_IDFC_FIRST_182,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus points on utility bills,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_183,IDF_IDFC_FIRST_183,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Extra miles on travel portals,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_184,IDF_IDFC_FIRST_184,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_185,IDF_IDFC_FIRST_185,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_186,IDF_IDFC_FIRST_186,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_187,IDF_IDFC_FIRST_187,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_188,IDF_IDFC_FIRST_188,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_189,IDF_IDFC_FIRST_189,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_190,IDF_IDFC_FIRST_190,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Extra miles on travel portals,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_191,IDF_IDFC_FIRST_191,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_192,IDF_IDFC_FIRST_192,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus on grocery spends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_193,IDF_IDFC_FIRST_193,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Enhanced cashback weekends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_194,IDF_IDFC_FIRST_194,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_195,IDF_IDFC_FIRST_195,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus on grocery spends,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_196,IDF_IDFC_FIRST_196,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_197,IDF_IDFC_FIRST_197,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Extra miles on travel portals,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_198,IDF_IDFC_FIRST_198,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus points on utility bills,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_199,IDF_IDFC_FIRST_199,True
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay | Bonus points on utility bills,Selected variants may have limited lounge access,,BankBazaar fuel card listing,VAR_200,IDF_IDFC_FIRST_200,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,16000.0,16000.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Enhanced cashback weekends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_001,HDF_HDFC_Infin_001,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,10900.0,10900.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_002,HDF_HDFC_Infin_002,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15300.0,15300.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_003,HDF_HDFC_Infin_003,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15500.0,15500.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_004,HDF_HDFC_Infin_004,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,13900.0,13900.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_005,HDF_HDFC_Infin_005,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,9400.0,9400.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_006,HDF_HDFC_Infin_006,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15300.0,15300.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus on grocery spends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_007,HDF_HDFC_Infin_007,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,16500.0,16500.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus on grocery spends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_008,HDF_HDFC_Infin_008,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15400.0,15400.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_009,HDF_HDFC_Infin_009,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,11200.0,11200.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Enhanced cashback weekends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_010,HDF_HDFC_Infin_010,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15000.0,15000.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Enhanced cashback weekends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_011,HDF_HDFC_Infin_011,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,9600.0,9600.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus points on utility bills,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_012,HDF_HDFC_Infin_012,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,11600.0,11600.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_013,HDF_HDFC_Infin_013,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,12200.0,12200.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus on grocery spends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_014,HDF_HDFC_Infin_014,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15200.0,15200.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_015,HDF_HDFC_Infin_015,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,13700.0,13700.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_016,HDF_HDFC_Infin_016,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,11500.0,11500.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_017,HDF_HDFC_Infin_017,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,11100.0,11100.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_018,HDF_HDFC_Infin_018,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,16300.0,16300.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_019,HDF_HDFC_Infin_019,True
